,data,label
83,akhir sunti dosis dua vaksin covid 19 dapat alhamdulillah ikut daftar efek samping jauh,1
84,apa efek samping vaksin covid 19 simak jelas fitphonelive pukul 15 00 wib stayfitforlife,1
85,moskow usai vaksin covid 19 dosis pertama minggu 28 3 presiden rusia vladimir putin aku alami s,1
86,abang sebenernya pinter cuman males baca aja kaya jadi postingannya selalu lucu gapapa b,1
87,jauh laksana vaksinasi covid 19 jalan lancar tidak jadi kendala apa sebab efek samping vaksin,1
88,lah efek samping sebut efek samping biasa bukan cuma vaksin covid 19 tapi dampak b,0
89,efek samping vaksin covid 19 astrazeneca indonesia,0
90,vaksin covid aku udah waswas sama efek si vaksin di badan bapa eh nyata yg lemah malah aku hahahaha,-1
91,beri vaksin covid 19 astrazeneca sulawesi utara sempat henti karena lapor bagai efek sa,0
92,efek samping vaksin covid indonesia kok aneh2 yah sugesti,-1
93,vaksin covid 19 astrazeneca punya lebih banyak manfaat efek samping itagi sebut vaksin astrazen,1
94,review efek samping vaksin covid badan lemes otot lemes lemah tak daya ngantuk nyata efek d,-1
95,efek samping vaksin covid kata bikin horny kocak anjir,1
96,tak rasa efek samping vaksin covid 19 arti vaksin tak kerja,0
97,anita jelas buah vaksin edar dalam proses uji milik manfaat lebih besar darip,1
98,tak rasa efek samping usai vaksinasi covid 19 bukan arti vaksin tak kerja jelas,1
99,ikut bagi informasi kait efek samping vaksin covid 19,0
100,idntimesinfografis nah apa aja efek samping bagaimana cara atas baca artikel lengkap,1
101,idntimesinfografis dapat gilir vaksinasi covid 19 bila tetap disiplin protokol kesehata,0
102,terima sunti vaksin covid 19 wajar memang rasa efek samping apa efek samping baca selen,1
103,kremlin vladimir putin tolak tampil depan kamera usai vaksin covid 19 duga alamai efek samping,0
104,jakarta juru bicara vaksinasi covid 19 menteri sehat siti nadia tarmizi atak,1
105,dia tubuh beri respons vaksin jadi demam pegal badan lemas,-1
106,trs uda dijelasin sama buibu yg efek pegal vaksin normal trs ibu bilang tau yg d,1
107,pagi baca grup buibu kulwap bikin kesel sendiri 1 ibu jadwal vaksin covid dr kantor tp beliau takut ef,-1
108,alhamdulillah ini lansia makin antusias banding awal jalan program vaksinasi mere,1
109,ya efek suntik yg kali gel ngelebihin meningitis pas mo umrah minggu vaksin covid woy na,0
110,jadi artikel luar yg ingat efek samping vaksin covid organ2 reproduksi ter,0
111,salah edar info bhw vaksin timbul efek samping yg lbh berat bg org yg puasa fakta tdk risiko,-1
112,bpom ungkap efek samping vaksin covid 19 sinopharm,0
113,efek samping vaksin covid 19 sinopharm bpom bilang bisa toleransi download a,0
114,efek samping vaksin sinopharm sakit kepala nyeri otot diare vaksin covid 19 sinopharm beri,0
115,efek samping vaksin covid 19 buat sinopharm,0
116,dasar uji klinis uni emirat arab negara efikasi vaksin sinopharm 78 persen,1
117,efek samping sangat jarang lapor,1
118,adrianrahman jujur gw sama covid 19 pilih gak mau vaksin gw mau lihat 2 3 tahun depan org2 yg sd,1
119,biaya kipi tanggung full perintah mohon atensi enci,1
120,risiko covid 19 lebih besar banding efek samping vaksin,1
121,efek samping vaksin covid 19 parah vaksindorongpemulihanri,0
122,vaksin covid nyeri lengan sakit kepala efek samping paling umum teliti,1
123,itu bisa bantah dgn alas yg kena prank aja,-1
124,bikin masyarakat takut vaksin banyak yg dapat mending dak usah vaksin krn vaksin blm kebal thd,1
125,udah mas ga usah didengerin ladenin lain ngehina amp rendah mas fokus 1 long term effect,-1
126,seluruh jenis vaksin covid 19 guna program vaksinasi nasional pasti aman khasiat minim,1
127,vaksin covid nyeri lengan sakit kepala efek samping paling umum teliti teliti in,-1
128,skr gin efek jangka panjang vaksin nyaris ada sama p,-1
129,emang efek nya psbb ngga ini virus bakal sampe lebaran monyet anjing ayam ba,-1
130,antusiame warga inggris vaksin covid 19 astrazeneca luntur bulan akhir tanda tinggi kege,1
131,beneran efek vaksin kayak gin takut banget,1
132,puji tuhan akhir dapat sempat vaksin dosis pertama hari dan ada efek apa den,1
133,bahkan masyarakat curiga ada efek samping belum bahaya aman benar vaksin s,1
134,jadi ikut pasca imunisasi kipi rupa gejala biasa timbul vaksinasi imunisasi tetap j,-1
135,kan sy bilang vaksin yg proof of concept indikator ada a,0
136,ada efek samping bila vaksin covid 19 beda dosis satu dua,0
137,denger kabar temen org india ad yg nyokapnya tinggal garagara efek samping vaksin covid nih berita sungguh bikin,1
138,apa efek bila ibu hamil lanjur dapat vaksin covid 19 dok via,1
139,lingkung sendiri orang tua yg vaksin baru kena covid alhamdulillah gejala r,1
140,moots ada yg udh vaksin covid mau tanya efek samping pusing mual gakya,0
141,perintah pasti vaksin covid 19 minim efek samping via,-1
142,rekomendasi dokter internis kait efek beku darah vaksin covid 19 astrazeneca,0
143,udah si cuma efek long covid mas terus ni mak gua kata rekan kerja yg kena cov,-1
144,beritaterkini perintah pasti vaksin covid 19 minim efek samping lengkap,0
145,ikut tips meminimalisir efek samping vaksin covid 19 adaradioplus,0
146,negara sudah kaji efek samping serius akibat vaksin covid buka sekolah sini mbulet s,-1
147,masalah ganggu ereksi limfositosis semua kait efek samping vaksin covid 19 hmm bene,0
148,kenal beda efek samping vaksin gejala covid19,0
149,reaksi mungkin jadi vaksinasi covid 19 hampir sama vaksin yaitu upa reaksi lo,0
150,seluruh jenis vaksin covid 19 yg guna dlm program vaksinasi nasional pasti aman khasiat minim efe,1
151,daftar efek samping timbul suntik vaksin covid 19 potensi tambah kembang baru duga,1
152,studi israel tinjau duga radang jantung efek samping terima vaksin covid 19 pfizer,0
153,kenal beda efek samping vaksin gejala covid 19 memang dapat vaksin b,0
154,95 gugur lapor sistem lapor efek rugi vaksin vaers as vaksinasi covid per,0
155,vaksin covid 19 edar as mrna moderna pfizer dna johnson amp johnson janssen seba,0
156,mau cerita efek vaksin covid 19 yg jelas efek beda2 orang ini efek yg rasa tubuh aku,1
157,alhamdulillah hari 25 4 dapat gilir vaksin covid 19 tahap 1 vaksinasi tahap 2 di laksana pad,0
158,waras sini bukti covid ini hanya settingan india nyata sunam covid m,1
159,perintah vaksin covid 19 minim efek samping jokowilawanpandemi,-1
160,perintah pasti vaksin covid 19 minim efek samping temu efek samping masyarakt minta,-1
161,telah vaksinasi temu efek samping perintah minta masyarakat lapor fasilitas sehat masyarak,1
162,perintah pasti vaksin covid 19 minim efek samping lawan pandemi,-1
163,perintah pasti vaksin covid 19 minim efek samping vaksinasi temu efek samping perintah minta mas,-1
164,kertas hudhi koko28 banyak yg sebab,1
165,jujur abis vaksin covid yg pertama efek gue seluruh badan gel linu kaya abis nguli,1
166,yg tau berapa lama efek laper mulu krn vaksin covid vaksin sabtu kemarin sampe hari kok asa laper mulu yak,-1
167,vaksin tdk efektif cegah covid harus vaksin bukankah virus,0
168,serius nanya fren kelen udah vaksin covid ada efek ga si telah,-1
169,parno bgttttt sama yg bersin2 batuk2 ini masuk efek tinggal ibuk covid kapan vaksin,1
170,update covid hari 31 mei 2021 1 kasus aktif indonesia gt 100 ribu 2 malaysia lockdown panic buying 3 va,-1
171,12 efek samping vaksinasi hasil temu dinkes batu covid19vic covid vaksinasicovid19 vaksin vaksincovid,0
172,baru aja jadi sama temennya suami badan demam meriang habis vaksin sampe 38 5 minta izin,0
173,beberapa kasus yg vaksin kali jumpa kena covid umum tanpa geja,1
174,kenal efek samping beri vaksin virus covid 19 tubuh,0
175,kenal efek samping beri vaksin virus covid 19 tubuh bagi masyarakat indonesia tengah mendap,0
176,iya brusan baca brita atas pangakuan bpk media klau beliau positif covid mski,1
177,689 orang lapor reaksi negatif vaksin komnas kipi 228 lapor efek serius co,-1
178,hoaks covid 19 vaksin moderna kandung sm 102 hingga kiat kiat cegah efek samping vaksinasi,0
179,vaksin jamin kena covid tapi kurang parah efek covid,0
180,timbul efek samping vaksin covid 19 tanda sistem kebal tubuh kerja reaksi vaksin kerja,0
181,kenal efek samping timbul usai vaksin covid 19 astrazeneca mungkin muncul efek samping v,0
182,f2 lama dokter tdk pernah jelas kandung efek fucksin gilir yg cacat,1
183,asli gaes vaksin covid udah lumayan lama efek magnet kenceng ni gaes,1
184,inti fakta baru efek samping vaksin covid 19 buat usaha,1
185,mantan menteri sehat dr awan agus putranto yakin vaksin nusantara akhir pandemi covid 19 d,0
186,yuk intip komposisi vaksin covid indonesia apa iya punya efek magnet vaksin vaksinasi vaksinasicovid19,0
187,abis dapet 2nd dose vaksin covid efek masih sampe sekarang kedut mata kiri,0
188,insiden reaksi rugi efek samping vaksin covid 19 tiongkok 11 86 dosis 100 000 dos,0
189,meski muncul jumlah keluh soal efek samping perintah sama jumlah otoritas sehat tegas,1
190,update covid hari 29 mei 2021 1 hampir 50 orang dewasa as vaksin indonesia 2 vaksin m,1
191,sars cov 2 biasa sebut pandemi covid rupa sakit zoonosis bara pertama kali wuhan,1
192,jdi dri ski bnyaknya dokter dnegri bhkan dgn wadah yg bgitu besar tak breaksi scra mayoritas,1
193,ada efek vaksin covid 19 ibu hamil hasil studi baru,1
194,isnainmala kurang tau sebab apa banyak banget temu efek sampi,1
195,cek fakta hoaks vaksin pfizer timbul efek samping bahaya lewat kontak fisik vaksin covid 19 buat pfizer,0
196,masalah vaksinasi covid 19 warga lansia nyata batas efektivitas vaksin efek samping,1
197,nyata lapor kipi vaksin covid 19 indonesia perlu nama ayah ibu pasien lihat sesuai format ki,1
198,smntr az lg edar dg imbuh vaksin yg timbul efek baik demam nyeri yg baik u,1
199,moderna umum hari selasa lalu vaksin covid 19 mereka produksi aman efektif mencega,1
200,satgas covid 19 yogya sebut ada lapor efek samping vaksin astrazeneca,0
201,vaksin covid 19 jenis astrazeneca telah guna kota yogyakarta sejak jumat 21 5 hingga kini ada,0
202,berapa lama efek samping suntik vaksin covid 19 tahan yuk simak suaragrafis ikut,-1
203,aurelie moeremans ungkap efek rasa,0
204,dinamika info vaksin sinopharm jadi salah satu jenis vaksin covid 19 guna program vaksinasi g,0
205,observasi bagai wagroup kok kaya banyak yg kaget dengan bagai efek samping vaksin covid 19,-1
206,vaksin astrazeneca aman efektif lindung orang risiko covid 19 sangat serius masuk ri,1
207,efek samping lebih kuat kata yg sempat ramai tinggal vaksin a,0
208,vaksin astrazeneca aman efektif utk lindung org risiko covid 19 yg sangat serius masuk risiko k,1
209,nahh udah tebak tiap tahun bakal vaksin covid trus sertifikat tiap tahun gitu yakin gratis,1
210,atas efek samping sunti vaksin covid 19 cara ikut tempogaya,0
211,manfaat vaksin tangan covid 19 lebih besar risiko efek samping dapat kak,1
212,investasi efek samping vaksin covid 19 tak laku astrazeneca,0
213,manfaat vaksin tangan covid 19 lebih besar risiko efek samping dapat akibat masa,1
214,mama gue sakit abis vaksin covid padahal vaksin sehat walafiat emang vaksin efek samping,-1
215,nyata efek samping umum mas kalo vaksin nya astrazeneca juk do meriang tp jane vaksine lebih taha,1
216,efek samping sunti vaksin astrazeneca jarang jadi kalaupun sifat ringan kebas pegal ar,1
217,efek samping vaksin covid 19 salah satu rasa ken gaji lebih cepat,0
218,alhamdulillah tula tk sgka cepat jgk lepas apply under raja negeri harap2 side efek nye antuk da,1
219,smartlistners ketua bidang tangan sehat satgas covid 19 alexander ginting kata meski efek sam,0
220,jadi d grup wa sebar copas2 entah dr mana yg byk tinggal d rs krn efek vaksin bkn krn co,0
221,ubah menstruasi jadi efek samping jangka pendek vaksin covid 19,0
222,putar vaksin covid efek samping bagi pertama,1
223,tadi siang ketemu ngobrol sama salah satu covidiot gamau vaksin gapercaya kalo covid nyata korek2 ken,1
224,next day gw dpet info vaksin surat domisili di rsup sahabat yauda gw kesitu long story short gw b,-1
225,kapan suruh situ dokter cm suruh situ pikir sendiri kalo ga yak,0
226,fakta banyak main positif covid g tanding fisik main bukan jamin lolos positif covid bagai n,1
227,efek samping sebut arti vaksin kerja tubuh,0
228,hudhi yampun super sadis sih mana hak asasi manusia sy gak mau vaksin cuma kecil efek sam,1
229,gimana yaa kalo mah misal nyata positif covid gejala gak tau gak antigen pcr da,1
230,vaksin suntik gratis kelar efek samping biasa kena covid kalo parah suntik nularin kelu,1
231,kalo efek vaksin aja positifin covid jadi angka covid jakarta real nggak,1
232,masih positif thinking sih bukan covid mas efek vaksin nya aja moga bulan corona,1
233,ayo ente2 jgn egois dgn gak mau vaksin kek takut efek vaksin dsbnya kalau you sekali kena covid dgn gejala b,-1
234,terima kasih dok kasi sih dok sempat debat sama almarhuma soal covid galau soal vaksi,0
235,syarat vaksin covid 19 ibu hamil simak efek samping,1
236,tak perlu takut vaksin dia cara mudah atas efek samping vaksin covid 19,1
237,link cetak sertifikat vaksin nyata diperjualbelikan oknum yg bertanggungjawab utk jual,1
238,riego daerah gaada sampai kyk gitu samsek pokok umur sekian sekian vaksin gaada dika,1
239,hanafi ingat satgas buka layan adu efek vaksin covid lewat,0
240,liat berita baru baru dan liat postingan temen temen gua kalo efek samping vaksin gua jadi mikir 2 kali,1
241,paham efek samping vaksin covid 19 cara tangan tepat kontan covid covid19,1
242,bpom keluar izin guna darurat eua vaksin covid 19 sinovac anak atas usia 12 tahun,1
243,vaksin covid 19 kandung aluminium potensi ganggu tumbuh anak perintah minta jamin ama,0
244,banding efek samping obat covid 19 data fda cdc mati akibat vaksin covid 19 tinggi,1
245,vaksin dua done bentuk ikhtiar hadap covid saran tugas dengan istirahat c,0
246,moga nti lancar soale pas lazu vaksin yo lgsg tepar malah dikiro bar vaksin kenek covid tp terny,1
247,itu teliti ungkap efek samping suntik vaksin covid 19 campur lebih r,-1
248,ku maksud efek vaksin ri masuk ngantuk yg ga biasa bukan gejala covid vaksin,-1
249,nah vaksin astrazeneca pfizer ampuh tangkal virus covid 19 varian delta india banding efe,1
250,vaksin covid 19 kandung aluminium potensi ganggu tumbuh anak korantempo,0
251,kaget nyokap gw blg angka covid naik grgr org2 vaksin gw jawab angka covid naik soal efek org2 pd mudik tp,-1
252,gass mending nahan efek samping vaksin nahan sakit covid,0
253,689 orang lapor reaksi negatif di vaksin komnas kipi 228 lapor efek seriu,-1
254,iya mas kemarin bingung bedainnya efek vaksin gejala covid soal gejala hampir mir,-1
255,efek infeksi covid 19 tak banding efek vaksinasi ahli imbau jangan tunda vaksin gt benar lagi,0
256,aku gerd udah vaksin pertama astrazeneca gada efek gimana2 cuma gel aja terus 12 har,1
257,corason vaksin tu bukan bikin kebal cuman ringan gejala efek covid apa bila papar covid,1
258,berita terlalu lebih ah derita gerd sempat kena covid 19 gejala ringan alhamdulilla,1
259,baru vaksin pertama sih trs kena covid bulan juli gaada efek apa apa cuma gabisa cium aroma aja,1
260,my covid story 19 juni 2021 vaksin sinovac biofarma vaksin satu sama sekali asa efek samping aku v,0
261,kan vaksin bom teliti jangka panjang gimana kalo 5 10 taun ada efek samping nyata,1
262,aku positif covid 3 hari lalu gejala sekarang udah gak nyium bau rasa makan hambar bersyuk,1
263,akhir2 isu efek amp risiko vaksin isu covid 19 bahaya gak sih muncul karena sa,-1
264,vaksinasi gak wajib tentang uu apalag,0
265,sana kasus hari tinggi tingkat mati rendah kek covid udah jadi sakit bias,-1
266,gw curiga tadi yg disuntikin aer deh bukan vaksin covid abis yg laen efek gaenak badan tapi gw enggak,0
267,x kamu udah vaksin y udah x efek samping y efek neng neng banget ayovaksin covid,1
268,3 hari efek pegal pusing demam orang awam yg gak info bakal efek samping bakal,-1
269,kelompok susah ajak vaksin bbrp survivor covid rasa sistem kebal tubuh lebih bagus dar,0
270,terus turun waktu cepat teliti khawatir efek lindung vaksin kurang terutam,-1
271,efek vaksin kayak kena covid rek kabeh awak,0
272,alesannya 1 kampanye vaksin banding balik fakta kata bikin imun nyata,1
273,kok analogi brugada syndrome y bukankah riset adverse events following immunisation ki,0
274,kutip european medicines agency ema saran vaksin zeneca cantum efek samping sumbat darah,0
275,arti bnr dong ringan gejala berat,1
276,1 kuatir efek samping vaksin jangka panjang 2 punya banyak komorbid 3 uda kena covid 4 males,-1
277,kalau banyak org gamau vaksin takut efek samping arti capai literasi sama sosialisasi ten,-1
278,hasil ngajak ex gitaris dulu buat vaksin tahun kemarin sampe jual gitar efek ampli akhir sempet,1
279,jedi situ masalah vaksin covid saya ditunjukin efek trial vaksin me,0
280,jedi lah kalau lihat video hasil trial vaksin meningitis dipermasal,0
281,yang tau efek samping vaksin covid beda tipe vaksin,0
282,kasihan malah jadi papar covid sblm efek vaksin smg cari solusi yg lebih baik,1
283,bukan gitu paham ga yg gwa maksud jadi gin loh lu vaksin sekarang nih lu ga reaksi apa apa,-1
284,pedang sama mas vaksin bukan bikin kebal corona di,0
285,vaksin covid 19 sinovac temu alami turun antibodi usai dosis dua booster atas efek,1
286,buah teliti covid 19 buah artikel university of miami efek covid 19 timbul,0
287,adjem plus mungk gak bs jelas tepat jujur vaksin emang berpoten,1
288,aneh post atas bahas karna covid lah ke efek vaksin fyi aja jgn telat update batch tsb udh l,-1
289,plis sama banget bang gw kena covid pas udah vaksin pertama efek telah lumayan cape ga bi,1
290,vaksin sumpah nge bantu banget gw yg punya komorbid ydan rentan tular covid efek d,-1
291,hudhi yg sebar wag video covid mutasi tambah kuat akibat efek samping vaksin bapak bapak pegang android sangat resah,1
292,sugar kalo baru sembuh tgl 20 juni 2021 pnya komorbid asma efek after covid nya mas,0
293,uji coba campur vaksin sputnik v astrazeneca timbul efek samping kasus covid 19 lanjuta,0
294,aku udh vaksin dosis 1 stlh vaksin gak efek apa 2 minggu stlhnya aku covd gejala ring,0
295,yukkitavaksin tadi kaya ragu gitu vaksin udh suruh kantor takut pecat kalo nolak whehe,-1
296,abis vaksin gakenapa2 sih langsung kerja 2 hari kemudian jadi sering mual kalo makan minggu,1
297,bukan pikir pikir tapi efek vaksin covid rasa vaksin nafsu makan abis vaksin asa lapa,0
298,who ingat semua obat obat vaksin milik potensi efek samping banyak kasus efek sam,1
299,drama yg panjang anak2 yatim lantar efek covid urus pak yg tinggal akibat vaksin tang,-1
300,vaksin pertama dua ga efek 6 bulan ikut malah kena covid tp gejala,1
301,awal juli lalu gua positif covid emng sih rutin tiap tahun vaksin flu mungkin efek positf vaks,1
302,inti vaksin pertama emang efek hampir kaya dulu awal positif jauh lebih mending ga apa ap,1
303,efek samping vaksin covid 19 upa reaksi ringan sistemik demam bisa laku minum lebih,1
304,oke sekarang lanjut kena bahaya bahaya efek lanjut vaksin covid 19,1
305,nahh ituu kan emang udh biasa efek vaksin jd demam wajar kalo vaks,-1
306,ini situasi lg begini buk semua yg bantu tangan efek covid lakon,0
307,jauh blm efek apa2 sih w efek lebih sakit pas vaksin tetanus vaksin covid,1
308,amiiiin astaghfirullah zona merah bal iyo bal masalahe klo kenek covid efek e cuepet kudu emerg,0
309,gue awal covid masuk indonesia saat alhamdulillah banget pernah infeksi sakit sakit mer,-1
310,tinggal vaksin aja nder vaksin ga sakit kok g efek samping malah buat tubuh makin keba,1
311,kalo gejala demam batuk pilek gejala pas banget abis vaksin covid 19 masuk mem,1
312,alhamdulillah papar rentang sejak maret 2020 swab 4x hasil negatif beberapa bulan,-1
313,kalau bukan buah eksperimen massal pfizer moderna tak kasi imunitas hukum atas efek samping vaksin,1
314,bulan januari bunda kena covid kemudian keluarga pcr nyata ayah kena tapi negatif,-1
315,alhamdulillah ners sekarang belum pernah gejala swab rutin bulan selalu negatif setel,-1
316,aku kemaren mau vaksin rsal disuru pulang nunggu 2 bulan pas screaning tanya pernah sakit tak bilan,-1
317,reaksi beri vaksin pertama tanggal 17 juni 2021 sama sekali ngga efek asa rekam pe,1
318,rupa rekam alam dapat suntik vaksinasicovid19 nyata efek suntik dosis pertama ked,1
319,meski sempet parno krn mana2 naik transjakarta mulu yg sering padet ga social distancing al,-1
320,olahraga vaksinasi boleh tetapi perhati efek samping muncul tentu,0
321,sorry oot kmren abis vaksin covid nah malem nya aku bidur trs sekarang biduranya muncul lg tam,-1
322,kmren abis vaksin covid nah malem nya aku bidur trs sekarang biduranya muncul lg tambah banyak td sempet c,1
323,tentu vaksin vaksin sebut milik spesifikasi guna dosis maupun efek samping beda beda,0
324,tular virus covid 19,0
325,benar suruh nunggu 3 bulan bukan vaksin peny,1
326,penting vaksinasi covid 19 ajar memang apasih manfaat vaksin covid 19 usia berapa boleh vaksi,1
327,simak yuk kira kira apa efek mungkin jadi ibu susu pasca vaksin covid 19,0
328,hidup normal baru kembali hidup sediakala dua kait fungsi efek vaksin d,1
329,berita beritaterkini beritajogja beritajakarta news newsupdate viral viraltiktok viraltwitter covid19,0
330,so far ada efek vaksin moderna yg arti mungkin udah pernah kena covid gw cuma tangan kaya ditonjok2 aja,1
331,mioperikarditis pasca vaksinasi lapor imunisasi vaksin mrna covid 19 efek injeksi intravena,0
332,nak mati terseksa covid nak mati side efek vaksin haa decide dik,-1
333,masyarakat tanya efikasi efektivitas vaksin covid 19 dalih tidak efektif isu,1
334,enak pak bully ringan hukum,1
335,beberapa yang harus laku vaksin antisipasi efek samping,0
336,efek vaksin moderna asa kena covid dong,1
337,biasa sblm vaksin tanya pernah kena covid gak mending jujur2an aja deh pas tanya punya keluh,1
338,vaksin gx 19 n jadi vaksin covid 19 pertama teknologi dna klaim picu antibodi lebih lama,1
