,data
133,"@Riyan_____ Alright Mas, don't listen to other people insulting &amp; condescending.

Mas, focus on
1. Long term effect… https://t.co/waC2m4ju0P"
134,"All types of Covid-19 vaccines used in the national vaccination program are ensured to be safe, efficacious and minimal… https://t.co/N3VKmYjb7J"
135,"Covid vaccine: Arm pain and headaches are 'most common side effect', according to research: Research in In… https://t.co/vIQWYRYcrt"
136,"@Riyan_____ @junichirich @donmartha26 @kurawa Right now, the long term effects of the vaccine are almost non existent (same as p… https://t.co/NemjCW0X01"
137,"@txtdrgovernment does it have any effect on PSBB or not
this virus will exist until Eid monkeys, dogs, chickens... https://t.co/dDy4s4cf7u"
138,"British enthusiasm for AstraZeneca's COVID-19 vaccine has waned in the past month, marking high… https://t.co/U7quHs5O9E"
139,"Is this really the effect of a vaccine like this? So scared😭😭

https://t.co/sf1Oszy1UE"
140,Praise God finally got the opportunity for the first dose of vaccine today and there was no effect until now… https://t.co/3Z5iiWhsA9
141,"In fact, people also suspect that there are side effects that are (not necessarily) dangerous. Is the S vaccine actually safe? https://t.co/iLeiFcpZ8S"
142,"All types of Covid-19 vaccines used in the national vaccination program are ensured to be safe, efficacious and minimal… https://t.co/i0wOjioeL0"
143,Adverse Events Post Immunization (AEFI) is a symptom that usually occurs after vaccination or immunization. Keep going… https://t.co/jxZ4cTv4E1
144,"@JoPermadi @RodriChen @mawakresna I already said that there are other proof of concept vaccines, there are indicators too, a… https://t.co/anRBpZG4Fy"
145,Are There Side Effects If the COVID-19 Vaccine Differs Between Doses One and Two? https://t.co/R2GMgWek7u
146,Heard the news of an Indian friend whose mother died because of the side effects of the covid vaccine. This news really makes… https://t.co/o3y2JEgmYk
147,"What are the effects if pregnant women already get the Covid-19 vaccine, Doc?
 
https://t.co/WlkH5ZBt5j via @TribunHealth"
148,@pemudacustomsaja in my own environment there are parents who just got covid after the vaccine. Thank God the symptoms are r… https://t.co/p1ZhesiSNZ
149,"moots, has anyone had the covid vaccine? I want to ask if there are side effects of dizziness or nausea or not?"
150,Government Ensures Covid-19 Vaccine Has Minimal Side Effects | https://t.co/ypaN19Edtg https://t.co/4JryJ4nH1D via… https://t.co/yfUjpVOQYL
151,Government Ensures Covid-19 Vaccine Has Minimal Side Effects | https://t.co/VTUTo5lDvP https://t.co/rwuw3QyVFA via… https://t.co/3Pz0sLqwwY
152,Recommendations of Internists Regarding Blood Clotting Effects of the COVID-19 Vaccine AstraZeneca https://t.co/LylxZSNXMO
153,Recommendations of Internists Regarding Blood Clotting Effects of the COVID-19 Vaccine AstraZeneca https://t.co/zPNvGsfqDi
154,"@syerarasitha It's okay, only the long covid effect is still there.

Then, my mother also said that one of her co-workers had COVID... https://t.co/oSZkja54Ay"
155,"#Latest news
The Government Ensures the Covid-19 Vaccine Has Minimal Side Effects

More: https://t.co/9XviyAjAoT"
156,"Follow Tips to Minimize Side Effects After the Covid 19 Vaccine. https://t.co/JYy4VMizma

#AdaRadioPlus"
157,"Follow Tips to Minimize Side Effects After the Covid 19 Vaccine. https://t.co/E1ktlAhu2n

#AdaRadioPlus"
158,"Follow Tips to Minimize Side Effects After the Covid 19 Vaccine. https://t.co/9g7OwR74cq

#AdaRadioPlus"
159,"Follow Tips to Minimize Side Effects After the Covid 19 Vaccine. https://t.co/8yOY2ik2Mx

#AdaRadioPlus"
160,"Other countries have studied serious side effects due to the covid vaccine, reopened schools, here are still mbulet… https://t.co/GQEKRhf9tk"
161,"From erectile dysfunction to lymphocytosis, everything has been linked to the side effects of the COVID-19 vaccine. Hmm, right… https://t.co/vQ63q8qkU3"
162,"Get to know the difference between vaccine side effects and COVID-19 symptoms
https://t.co/Y8aXZBHoD7"
163,"Reactions that may occur after the covid-19 vaccination are almost the same as other vaccines, which can be in the form of a reaction... https://t.co/shkfseG0Mh"
164,"All types of Covid-19 vaccines used in the national vaccination program are ensured to be safe, efficacious and minimally effective. https://t.co/mfpt5eiyH6"
165,"The list of side effects caused by injecting the COVID-19 vaccine has the potential to grow. The latest development, there is a guess… https://t.co/ip5u246A0j"
166,Israeli Study Examines Alleged Cardiac Inflammation as a Side Effect in Recipients of Pfizer's Covid-19 Vaccine… https://t.co/iMlmqRCOhi
167,"@null Recognize the Differences in Vaccine Side Effects with Covid-19 Symptoms Indeed, getting the b vaccine https://t.co/kez9qeSwYO"
168,"""and 95 miscarriages have been reported to the US Vaccine Adverse Effects Reporting System (VAERS) following COVID vaccination per… https://t.co/j3XdVfHE2x"
169,"""The COVID-19 vaccine circulating in the US, mRNA (Moderna and Pfizer) and DNA (Johnson & Johnson - Janssen), has caused… https://t.co/4Xqc3SCG3H"
170,"Want to talk about the effects of the covid-19 vaccine?
It's clear that the effect varies from person to person. This is the effect I feel on my body."
171,"Thank God today 25/4 I got the turn of the covid 19 vaccine stage 1, the second stage vaccination will be carried out on… https://t.co/yRNqCDD1Dt"
172,"All types of Covid-19 vaccines used in the national vaccination program are ensured to be safe, efficacious and minimal… https://t.co/mRl0NA3xLO"
173,https://t.co/EJjqjGfpxj
174,"@abu_waras Here also proves that the current Covid is just a setting. India is declared as a covid-19 virus, they are… https://t.co/vmSOfoBdgG"
175,"Government Covid-19 Vaccine Minimal Side Effects❤️🇲🇨

#JokowiLawanPandemi https://t.co/gjN7lbRQE8"
176,"The government of @jokowi ensures that the covid 19 vaccine has minimal side effects. If side effects are found, the public is asked to… https://t.co/RqdbVNRfy0"
177,"If after vaccination side effects are found, the government asks the public to report to public health facilities… https://t.co/EaFj3I9bDi"
178,"All types of Covid-19 vaccines used in the national vaccination program are ensured to be safe, efficacious and minimally effective. https://t.co/0AkFsmCZEH"
179,"The government ensures that the Covid-19 vaccine has minimal side effects

@jokowi Fights Pandemic https://t.co/vuwy5dH444"
180,"The government ensures that the Covid-19 vaccine has minimal side effects. If the vaccination is found to have side effects, the government asks… https://t.co/6VKdzCgjfT"
181,"The government ensures that the Covid-19 vaccine has minimal side effects. If vaccinations are found to have side effects, the government asks… https://t.co/cFTqJBrctf"
182,"The government ensures that the Covid-19 vaccine has minimal side effects. If the vaccination is found to have side effects, the government asks… https://t.co/vkHpKbHzQq"
183,@Perahu_Kertas__ @LsOwien @PBIDI @tirta_hudhi @dr_koko28 @DrTompi @Lisaamartatara4 Many things cause you to have to… https://t.co/1RaFLh4Q1g
184,"Honestly, after the first covid vaccine, the effect on my whole body is achy and sore like after a cold :)"
185,"does anyone know how long the 'hungry' effect of the covid vaccine will last? Vaccination last Saturday, until today why do you feel really hungry"
186,"@drpriono1 @jokowi @BudiGSadikin If vaccines are not effective in preventing covid, why are vaccines required? Isn't the virus… https://t.co/gDHZ64LVmO"
187,"Seriously Nanya✨
Fren kelen who has had this covid vaccine, is there any effect after that?"
188,"Parno is very similar to those who are sneezing and coughing. Does this include the effects of being left by your mother because of covid? ️

When can you get vaccinated? ️"
189,"[Daily Covid Update May 31, 2021]

1️⃣ Indonesian Active Case > 100 thousand!
2️⃣ Malaysia Lockdown? Panic Buying!
3️⃣ Va… https://t.co/mcqBBlJPHi"
190,"12 Side Effects of Vaccination Results of the Batu Health Office
#COVID19Vic #COVID #VaksinasiCovid19 #Vaksin #vaccincovid… https://t.co/Jqnu6CPofB"
191,"@hrdbacot Just happened to my husband's friend. He had a fever after the vaccine, up to 38.5°. Request permission… https://t.co/E9SJxSH4CS"
192,"@fadlizon In some cases, those who have been vaccinated twice, are still found to be infected with covid. Generally they are asymptomatic… https://t.co/C2gR7Fz71L"
193,Recognize the Side Effects of Giving the Covid-19 Virus Vaccine for the Body https://t.co/Cinwd8NplD https://t.co/6f2KkPOvrz
194,Recognize the Side Effects of Giving the Covid-19 Virus Vaccine to the Body: Some people in Indonesia are getting… https://t.co/Syzb5xZXct
195,"@SridianaEva @KemenkesRI Yes, I just read the news on Mr. @fadlizon's confession in the media that he was positive for covid, even though… https://t.co/HSoskZeNUb"
196,"689 People Report Negative Reaction After Vaccination
https://t.co/hQaCiiXLaJ

Komnas KIPI: 228 Serious Securities Co… https://t.co/SN2UUVVFI2"
197,Covid-19 Hoax: Moderna Vaccine Contain SM-102 to Tips to Prevent Vaccination Side Effects https://t.co/KjtEI3AD8X
198,"@harisubagya @fadlizon Vaccines do not guarantee that they will not be exposed to covid again, but reduce the severity of the effects of covid."
199,The emergence of side effects of the COVID-19 vaccine indicates the immune system has worked and reacted. Vaccines work… https://t.co/1u9RoZ4JVk
200,Recognize the Side Effects After the Covid-19 Vaccine AstraZeneca: Possible side effects after the v… https://t.co/27zBtaUBHD
201,"@dre_f2 @LsOwien But so far doctors have never explained the content and effects of fucksin.
It's the turn of someone who is disabled and… https://t.co/VMiiLEHzGE"
202,"Original guys, the covid vaccine has been around for a long time, but the magnetic effect is still strong guys https://t.co/gYn62g0y4d"
203,The Core of New Facts about the Side Effects of COVID-19 Vaccines Made by These Two Companies https://t.co/5ujOSQhZM8
204,The Core of New Facts about the Side Effects of COVID-19 Vaccines Made by These Two Companies https://t.co/141VsAsP2a
205,"Former Minister of Health, dr. Terawan Agus Putranto, believes the Nusantara Vaccine will end the Covid-19 pandemic.

D… https://t.co/99wEW8kX4N"
206,"Let's take a peek at the composition of the Covid vaccine in Indonesia, does it have a magnetic effect?

#Vaccin #vaccination #VaksinasiCovid19… https://t.co/4u8DvXIxZi"
207,"After getting the 2nd dose of the covid vaccine, the effect that is still there is a twitch in the left eye"
208,"The incidence of adverse reactions or side effects to the COVID-19 vaccine in China is 11.86 doses out of 100,000 doses… https://t.co/n8MtPCF7ul"
209,"Despite a number of complaints about side effects, the government together with a number of health authorities reaffirmed… https://t.co/OVwmiCJBEZ"
210,"[Daily Covid Update 29 May 2021]

1️⃣ Nearly 50% of Adults in the US Are Already Vaccinated. Indonesia?
2️⃣ Why Vaccine M… https://t.co/VZzq2Rg9D1"
211,Sars-CoV 2 or commonly called the covid pandemic is a zoonotic disease that was spread for the first time in wuhan… https://t.co/2u0U06ROqB
212,"@LsOwien So many doctors in this country, even with such a large container @PBIDI don't break the majority of the... https://t.co/rqV65Pn1wV"
213,Is there an effect of the Covid-19 vaccine for pregnant women? This is the latest study result https://t.co/EgpF2TRRrd https://t.co/tdqA8fw6Mq
214,@Tuti45931006 @Rila_IsnainMala @LsOwien @taosophie Don't know what the cause is. But there are so many side effects found… https://t.co/VyS4fy23Rt
215,FACT CHECK: Pfizer Vaccine Hoax Causes Dangerous Side Effects Through Physical Contact: Pfizer's Covid-19 Vaccine… https://t.co/zIzyquBI88
216,The problem with Covid-19 vaccination for the elderly is that it is not limited to the effectiveness of the vaccine and its side effects. Must… https://t.co/yxLs4794Wb
217,It turns out that the reporting of the COVID-19 Vaccine AEFI in Indonesia requires the names of the patient's father and mother. It looks like it fits the KI format… https://t.co/ho0Qmyxvf1
218,The problem with Covid-19 vaccination for the elderly is that it is not limited to the effectiveness of the vaccine and its side effects. Must… https://t.co/QKVsw6I9va
219,"Smntr AZ is circulating again, with the affix ""vaccines that cause an effect, be it fever or pain are the best"".
Because u… https://t.co/8CGzeq9z3p"
220,Moderna announced last Tuesday that their Covid-19 vaccine is safe and effective at preventing… https://t.co/BUaoOd2fFZ
221,Yogya Covid-19 Task Force Says There Have Been No Reports Of Side Effects Of AstraZeneca Vaccine https://t.co/51NJHFnZSi
