,data
22,"Guys udah ada yg pernah di vaksin covid? Gimana rasanya? Ada efek sampingnya ga sih? 
Please butuh pencerahan benta… https://t.co/kWc7NH2MWg"
23,"Banyak orang akan mengalami efek samping ringan setelah vaksin COVID-19. Untuk mengatasinya, para ahli menyarankan… https://t.co/4urT4nhhJY"
24,"Berbeda dengan vaksin lain, vaksin COVID-19 tergolong baru sehingga banyak yang merasa takut sebelum disuntik. Lant… https://t.co/mqiIkrEGLq"
25,"Efek Samping Vaksin Pfizer bagi Penyintas Covid-19, Salah Satunya Menggigil – https://t.co/KRhJMc4EDw –… https://t.co/ae8c6Fb0JT"
26,"Efek Samping Vaksin Pfizer bagi Penyintas Covid-19, Salah Satunya Menggigil – https://t.co/KRhJMc4EDw https://t.co/rISzEY8vEo"
27,"Vaksin Covid-19 juga bisa memicu pembengkakan kelenjar getah bening di bawah lengan,yang mirip dengan gejala kanker… https://t.co/1CWc89nXhL"
28,"""Tak lama usai vaksinasi, saya merasa ada sedikit nyeri di lengan dan kepala terasa sangat berat disertai mual. Pik… https://t.co/wE83HBqZ1Y"
29,"@thedufresne dulu ""the nyinyir-ers"" minta presiden &amp; pejabat suruh jadi kelinci percobaan vaksin covid karena takut… https://t.co/aRBtktQrXz"
30,"9 hari setelah vaksin covid tahap 1, alhamdulilah gak ada efek apa-apa. Yok pada vaksin yok."
31,"Bukan hanya Indonesia, tapi semua negara tengah berupaya bangkit dari efek pandemi Covid-19 ini. Makanya jangan tak… https://t.co/lR56RFoLph"
32,"Bukan hanya Indonesia, tapi semua negara tengah berupaya bangkit dari efek pandemi Covid-19 ini. Makanya jangan tak… https://t.co/lbmJVM64BT"
33,"@ardi_riauNew itu vaksin udah terbukti tidak mengakibatkan efek berat, pak jokowi udah divaksin dluan dan kita raky… https://t.co/1ZYVul0mlk"
34,"Suami, habis vaksin covid tadi jam 10 pagi. Maghrib pulang kantor..

👩🏻 Gimana vaksin? Ada efek yang dirasain nggak… https://t.co/hH543XVFGi"
35,"Hoaks Efek Samping Vaksin Covid-19 Bermunculan, Simak Penjelasan Pakar https://t.co/ixkf8Cytbq"
36,Kemenkes Bantah Kabar Puluhan Wartawan Terkapar Usai Ikut Vaksinasi Covid-19: Dia mengakui memang terdapat lima awa… https://t.co/Yg2LaO0fTf
37,Penjelasan soal Efek Samping Vaksinasi dan Isu Vaksin Covid-19 Berisi Chip - Cek Fakta https://t.co/0HpcaktMKt https://t.co/7SERrgnodj
38,Penjelasan soal Efek Samping Vaksinasi dan Isu Vaksin Covid-19 Berisi Chip https://t.co/HjtYJX2JEi
39,VIDEO: Efek Samping Vaksin Covid-19 akan Hilang Paling Lama 2 Hari https://t.co/W9VLktYBdF https://t.co/ySbaKAhNxF
40,"Efek Samping Vaksin Covid-19, Tubuh Bisa Merasakan Covid Arm, Apakah Berbahaya? Ini Penjelasannya… https://t.co/RFaATU7VvW"
41,"VIDEO: Efek Samping Vaksin Covid-19 akan Hilang Paling Lama 2 Hari: Ketua Komnas KIPI, Hindra Irawan mengatakan efe… https://t.co/0ld38EVOy4"
42,"#Vaksin Covid-19 Bisa Timbulkan Efek Samping Covid Arm, Berbahayakah Bagi Kulit? - https://t.co/LvPthhL83H #Covid… https://t.co/82XH9p9KoB"
43,"Seorang ASN di Purwakarta Pusing dan Muntah Setelah Disuntik Vaksin Covid-19, Efek Vaksin? https://t.co/aFXb8kzOuE"
44,"@RamliRizal Efek vaksin covid.

Waras jadi stress.!"
45,[Hoax] Wajah Dua Pria Membengkak karena Efek Samping Vaksin Covid-19 Moderna https://t.co/0AkGFEsN0B via @DetaxId
46,tidak ada gejala klinis yang menunjukkan efek samping kurang baik maka selanjutnya diperbolehkan pulang. Kegiatan i… https://t.co/MJaN7gKLvH
47,"Sehabis menjalani vaksinasi, mungkin beberapa orang ada yang mengalami efek samping seperti demam. bagaimana jika t… https://t.co/nRuaNiaUDS"
48,"Vaksin Covid-19 ternyata bisa menimbulkan efek yang disebut dengan ""covid arm"". Apa itu covid arm dan bagaimana men… https://t.co/yJnWV1pBfT"
49,"Tidak Ada Efek Samping Setelah Terima Vaksin Covid-19, Tanda Sistem Kekebalan Tidak Bekerja? https://t.co/Kov8LW2Iq4"
50,@rizarilrizad Tengok lah jenis efek mcm mane... Ada ke patut pendukung vaksin covid-19 compare dgn nasik..kahkahkahkahkah
51,"ada penjelasan efek dari vaksin COVID-19 nggak si?
kemarin lupa tanya. 

*dasar! masle nyari artikel"
52,"@InfiniteLjong Vaksin covid ci?
Mudahan ga ada efek sampingnya.."
53,"So far, efek vaksin covid tahap satu yang udah diterima nyokap gw adalah.. ngantuk. Nyokap gw tidur dr jam 7 malem… https://t.co/p9VWUncmG6"
54,"Pakar: Vaksin Covid-19 Aman Bagi Lansia, 80 Tahun Tanpa Efek Samping https://t.co/IFZdRxnIFP"
55,"Foto Wajah Dua Pria Membengkak Diklaim Efek Samping Vaksin Covid-19 Moderna? Ini Cek Faktanya

https://t.co/EMQDlEOi9F"
56,Foto Wajah Dua Pria Membengkak Diklaim Efek Samping Vaksin Covid-19 Moderna? Ini Cek Faktanya https://t.co/OIlCGuw9bk
57,Pfizer Pelajari Efek Dosis Vaksin Covid-19 Ketiga #Vaksin #Virus #Corona #Covid-19 #Pfizer #BioNTech https://t.co/xY4j8MRNfy
58,[tf] Ada yg udah pernah di vaksin covid?? Efek setelah suntik apa yg dirasaiin?
59,https://t.co/Ju5cdfE57u
60,"Hingga saat ini, belum ada laporan efek sedang maupun berat yang dirasakan peserta setelah mendapatkan vaksin terse… https://t.co/GrTHnPxcJv"
61,"Wartawan KLY Disuntik Vaksin Covid-19, Tak Ada Efek Samping https://t.co/3LdHsueHvs https://t.co/LX6aDQCbeM"
62,"Wartawan KLY Disuntik Vaksin Covid-19, Tak Ada Efek Samping: Vaksinasi dimulai pukul 08.00 WIB. Peserta harus menja… https://t.co/0CXWRhCigV"
63,"Jika obat pereda nyeri dan demam bisa mengurangi efek samping vaksin, mungkinkah ada pengaruh terhadap efektivitas… https://t.co/M6cdD9lYJE"
64,"10.38 #BeritaSONORA - Jika obat pereda nyeri dan demam bisa mengurangi efek samping vaksin, mungkinkah ada pengaruh… https://t.co/PeGzCvTiCY"
65,"Jika obat pereda nyeri dan demam bisa mengurangi efek samping vaksin, mungkinkah ada pengaruh terhadap efektivitas… https://t.co/3bCD0FALTq"
66,"Menurut Bahrul, belum ada penjelasan dari pemerintah perihal efek samping dari vaksinasi Covid-19 bagi kelompok dif… https://t.co/zIw4QUAQv0"
67,"#Virus Corona California#Bermutasi#Kebal#Vaksin Covid-19#Semakin Berbahaya!

Dia mengatakan antara varian Inggris d… https://t.co/FZJO11VYx4"
68,Sebuah penelitian terhadap 40.000 petugas kesehatan yang telah menerima vaksin Pfizer menemukan satu dari tiga oran… https://t.co/XllQVObR9K
69,"Efek Suntik Vaksin, Suarjaya: 3 Kali Lebih Ringan Bila Terpapar Covid https://t.co/trvHyoYVWH"
70,Pakar Yakinkan Efek Samping Vaksin Covid-19 Tidak Berat https://t.co/FPtU7KUHVh #TempoGaya
71,[Cek Fakta] Foto Wajah Dua Pria Membengkak Diklaim Efek Samping Vaksin Covid-19 Moderna? Ini Cek Faktanya https://t.co/Toqwa84GRE
72,Para ahli di ITAGI menegaskan efek samping vaksin COVID-19 bersifat ringan. Tidak ada orang yang sampai dirawat di… https://t.co/6FuNWtjLX6
73,@YuliaChiara Efek samping dari vaksin memang seperti itu pada umumnya! Jangan2 anda waktu sekolah dulu lari ya pas… https://t.co/Mti7ZqVmLH
74,"Bbrp efek vaksin covid yg dialami teman: mengantuk.

Aduhhh, bukan efek vaksin aja kerjaan gua ngantuk dan pelor.

Semoga hamba baik2 saja."
75,"Efek setelah di vaksin covid  +- 10 jam (yang gue rasa):
1. Gampang laper dan haus (sering makan dan minum air sebo… https://t.co/uDmRGg0264"
76,"Efek vaksin covid yg kedua biasa aja,  pas yg pertama kali panas dingin, sama mual trus😅"
77,Beberapa kenalan aku sebagian org sudah vaksin covid dan mrk baik2 sana tapi ada beberapa yg efek samping ringan .k… https://t.co/xeP1hUN2HV
78,Selasa minggu lalu dokter penyakit dalam gua ga praktek karena positf covid. Selasa ini udah lepas infus dan udah b… https://t.co/xQ0OKWEjdP
79,ITAGI: Efek samping Sinovac dan AstraZeneca menurut sy cukup ringan. Tdk ada yg masuk rumah sakit / sampe meninggal… https://t.co/wITDcBNUoq
80,"Pati, https://t.co/F73HKt1Ygv - Sesuai jadwal, program vaksinasi Covid-19 sebentar lagi akan menyasar kepada warga… https://t.co/BTAISCNcX6"
81,"Jadi... setelah kamu mendapatkan vaksin Covid-19, biasanya akan muncul beberapa gejala atau efek samping umum.

Con… https://t.co/ydUfqV7oR8"
82,"dr Steaven jubir satgas covid-19 Sulut menjelaskan dalam EUA vaksin AstraZeneca, sebenarnya telah disebutkan bahwa… https://t.co/992Mc0deFW"
83,Para ahli di ITAGI menegaskan efek samping vaksin COVID-19 bersifat ringan. Tidak ada orang yang sampai dirawat di… https://t.co/QvUufE2vlm
84,"Disuntik Vaksin COVID-19, Pria Ini Alami Efek yang Bikin Merinding https://t.co/r8HTnbbjAm"
85,"Efek Samping Vaksin Covid-19 pada Lansia, Jangan Diabaikan !

https://t.co/1SZNsuvNZC"
86,Penjelasan Efek Samping Vaksin Covid-19 pada Lansia dan Jadwal 14 April 2021 di Balikpapan… https://t.co/DKdIcL0oUt
87,"Mama takut banget vaksin Covid-19. Terus aku tanya, dulu pas vaksin Meningitis takut ga? Engga katanya, soalnya ga… https://t.co/Nuz4LoPQLY"
88,Efek samping vaksin covid yang kedua ini gak menyenangkan ya
89,Akhirnya suntikan dosis kedua vaksin Covid-19 saya dapatkan. Alhamdulillah. Berikut daftar efek samping saya sejauh… https://t.co/bWouSvPqJq
90,Apa saja efek samping dari Vaksin covid 19? simak penjelasannya di #FitPhoneLive pukul 15.00 WIB #stayfitforlife… https://t.co/x2s1iXxTVY
91,"MOSKOW - Usai divaksin Covid-19 dosis pertama pada Minggu (28/3), Presiden Rusia Vladimir Putin mengaku mengalami s… https://t.co/0EmC4tVvdO"
92,@kaliyuga49 Abang ini sebenernya pinter tapi cuman males baca aja kayanya 😂 jadi postingannya selalu lucu. Gapapa b… https://t.co/GPejNvafm8
93,Sejauh ini pelaksanaan vaksinasi Covid-19 juga berjalan lancar dan tidak terjadi kendala apapun yang disebabkan efek samping vaksin.
94,"@YuliaChiara lah efek samping tersebut adalah efek samping biasa, bukan cuma vaksin Covid-19 juga. tapi dampaknya b… https://t.co/z5eTMltCXA"
95,Ini Efek Samping Vaksin Covid-19 AstraZeneca di Indonesia https://t.co/jVMpHt5CTa
96,"sebelum di vaksin covid, aku udah waswas sama efek si vaksin di badan bapaku.. eh ternyata yg lemah malah aku.. hahahaha"
97,Pemberian vaksin COVID-19 AstraZeneca di Sulawesi Utara sempat dihentikan sementara karena laporan berbagai efek sa… https://t.co/0cTN4shkCB
98,"Efek samping vaksin Covid di Indonesia kok aneh2, yah? Sugesti? https://t.co/orxBSwGVem"
99,"""Vaksin Covid-19 AstraZeneca mempunyai lebih banyak manfaatnya daripada efek samping.""

ITAGI sebut vaksin AstraZen… https://t.co/cp5zO7OqrY"
100,"review efek samping vaksin covid : 
- badan lemes
- otot lemes
- lemah tak berdaya
- ngantuk
ternyata ini efeknya d… https://t.co/bd3ZUmUks7"
101,Efek samping vaksin covid katanya bikin horny.. kocak anjir
102,"Tak Rasakan Efek Samping Vaksin Covid-19, Apakah Berarti Vaksin Tak Bekerja? https://t.co/vPP5QjDrRJ"
103,Anita menjelaskan sebuah vaksin dapat diedarkan jika dalam proses pengujian memiliki manfaat yang lebih besar darip… https://t.co/1Da9OCMSIf
104,"Tak Rasakan Efek Samping usai Vaksinasi COVID-19 Bukan Berarti Vaksin Tak Bekerja, Ini Penjelasannya https://t.co/JcL8kLuTJ0"
105,🌸Berikut kami bagikan informasi terkait efek samping dari Vaksin Covid-19🌸 https://t.co/0CedRBGrJm
106,"#IDNTimesInfografis - Nah apa aja efek sampingnya? Dan bagaimana cara mengatasinya? 

Baca juga artikel lengkapnya… https://t.co/h2LgXPfwAP"
107,"#IDNTimesInfografis - Sudah mendapat giliran vaksinasi COVID-19 belum? Bila sudah, tetap disiplin protokol kesehata… https://t.co/G8YKArpv44"
108,Setelah menerima suntikan vaksin Covid-19 wajar memang jika merasakan efek samping. Apa efek sampingnya? Baca selen… https://t.co/f7mHH0Rxk0
109,"Kremlin Vladimir Putin Tolak Tampil di Depan Kamera Usai Vaksin Covid-19, Diduga Alamai Efek Samping https://t.co/8pTWKbc8Uo"
110,Setelah menerima suntikan vaksin Covid-19 wajar memang jika merasakan efek samping. Apa efek sampingnya? Baca selen… https://t.co/DF7Bv9PL1Y
111,"JAKARTA, https://t.co/iNilS4MV24 - Juru Bicara Vaksinasi Covid-19 Kementerian Kesehatan Siti Nadia Tarmizi mengatak… https://t.co/8pXO78LFjJ"
112,"Menurut dia, tubuh memberikan respons terhadap vaksin jika terjadi demam, pegal atau badan lemas. https://t.co/1Wu25JI3hZ"
113,"trs uda dijelasin sama buibu yg lain, efek pegal setelah vaksin itu normal dll.
trs ibunya bilang dia tau itu.
yg d… https://t.co/1Y3PWba5Ll"
114,"pagi² baca grup buibu kulwap bikin kesel sendiri.
ada 1 ibu², ada jadwal vaksin covid dr kantor, tp beliau takut ef… https://t.co/Dh2RFEQxBX"
115,“Alhamdulillah saat ini lansia sudah semakin antusias dibandingkan awal berjalannya program vaksinasi. Apalagi mere… https://t.co/Vm25q6tfdz
116,"Kenapa ya efek suntik yg kali ini pegelnya ngelebihin meningitis pas mo umrah😭

Dua minggu lagi vaksin covid
Woy na… https://t.co/2fa2SPtHdG"
117,@putihhsalju Bisa jadi. Ada artikel luar yg memperingatkan efek samping vaksin covid terhadap organ2 reproduksi ter… https://t.co/HDDH7mWwyl
118,"SALAH
Beredar info bhw vaksin akan menimbulkan efek samping yg lbh berat bg org yg berpuasa
⏬
FAKTA,
Tdk Ada Risiko… https://t.co/sfSf26ClPV"
119,"BPOM ungkap efek samping vaksin Covid-19 Sinopharm
https://t.co/5P8hSTdKiQ https://t.co/nVNK1jtekl"
120,"Ini Efek Samping Vaksin Covid-19 Sinopharm, BPOM Bilang Masih Bisa Ditoleransi

https://t.co/nvjgxlYrTr

Download a… https://t.co/Pyu8nno4oJ"
121,"Efek Samping Vaksin Sinopharm: Sakit Kepala, Nyeri Otot dan Diare: Vaksin Covid-19 Sinopharm akan diberikan kepada… https://t.co/W1hdeUo9C1"
122,Ini Efek Samping Vaksin Covid-19 Buatan Sinopharm https://t.co/xa2JPwERpl
123,"Berdasarkan uji klinis di Uni Emirat Arab dan negara lain, efikasi vaksin Sinopharm adalah 78 persen.
https://t.co/AJD7UQmiP7"
124,Efek samping sangat jarang dilaporkan https://t.co/EIyRtmoz5f
125,"@_AdrianRahman Jujur ya...
Gw sama covid 19 ini pilih gak mau divaksin. 
Gw mau lihat 2-3 tahun ke depan org2 yg sd… https://t.co/yiYkewjgku"
126,https://t.co/afAyFApX1U pembiayaan KIPI seharusnya ditanggung full pemerintah. Mohon atensi @mrs_enci @diskesjabar… https://t.co/17RmgU6mI5
127,Risiko COVID-19 lebih besar dibanding efek samping vaksin https://t.co/cZ1nxLELRa
128,Risiko COVID-19 lebih besar dibanding efek samping vaksin https://t.co/V3mMh4gPPi
129,"Efek samping Vaksin Covid-19 tidak parah
#vaksindorongpemulihanri https://t.co/cBubjFc6Ye"
130,"Vaksin Covid: Nyeri lengan dan sakit kepala adalah 'efek samping paling umum', menurut penelitian… https://t.co/y8vtfM2Opo"
131,"@PutraErlangga_ Tapi itu pun bisa dibantahkan dgn alasan ini. Yg ada kena prank lagi aja..
https://t.co/WLTHb6hCyk https://t.co/WjqoivMUg7"
132,"Bikin masyarakat takut di vaksin,  banyak yg berpendapat mending dak usah vaksin krn di vaksin blm tentu kebal thd… https://t.co/eEHN2El9Uc"
133,"@Riyan_____ Udah Mas, ga usah didengerin/ladenin yang lain ngehina &amp; merendahkan.

Mas fokus di
1. Long term effect… https://t.co/waC2m4ju0P"
134,"Seluruh jenis vaksin Covid-19 yang digunakan dalam program vaksinasi nasional dipastikan aman, berkhasiat dan minim… https://t.co/N3VKmYjb7J"
135,"Vaksin Covid: Nyeri lengan dan sakit kepala adalah 'efek samping paling umum', menurut penelitian: Penelitian di In… https://t.co/vIQWYRYcrt"
136,"@Riyan_____ @junichirich @donmartha26 @kurawa Skr gini, efek jangka panjang vaksin nyaris tidak ada (sama seperti p… https://t.co/NemjCW0X01"
137,"@txtdrpemerintah emang ada efek nya psbb lagi ngga juga
ini virus bakalan ada sampe lebaran monyet, anjing, ayam ba… https://t.co/dDy4s4cf7u"
138,"Antusiame warga Inggris terhadap vaksin COVID-19 AstraZeneca luntur dalam sebulan terakhir, menandai tingginya kege… https://t.co/U7quHs5O9E"
139,"Ini beneran efek vaksin bisa kayak gini? Takut banget😭😭

https://t.co/sf1Oszy1UE"
140,Puji Tuhan akhirnya mendapatkan kesempatan untuk vaksin dosis pertama hari ini dan tidak ada efek apapun sampai den… https://t.co/3Z5iiWhsA9
141,"Bahkan, masyarakat juga mencurigai adanya efek samping yang (belum tentu) membahayakan. Amankah sebenarnya vaksin S… https://t.co/iLeiFcpZ8S"
142,"Seluruh jenis vaksin Covid-19 yang digunakan dalam program vaksinasi nasional dipastikan aman, berkhasiat dan minim… https://t.co/i0wOjioeL0"
143,Kejadian Ikutan Pasca Imunisasi (KIPI) merupakan gejala yang biasa timbul setelah vaksinasi atau imunisasi. Tetap j… https://t.co/jxZ4cTv4E1
144,"@JoPermadi @RodriChen @mawakresna Kan sy sudah bilang vaksin yg lain proof of concept ada, indikatornya juga ada, a… https://t.co/anRBpZG4Fy"
145,Adakah Efek Samping Bila Vaksin COVID-19 Berbeda Antara Dosis Satu dan Kedua? https://t.co/R2GMgWek7u
146,Denger kabar temen org India ad yg nyokapnya meninggal garagara efek samping vaksin covid. Nih berita sungguh bikin… https://t.co/o3y2JEgmYk
147,"Apa Efek Bila Ibu Hamil Terlanjur Mendapatkan Vaksin Covid-19 Dok?
 
https://t.co/WlkH5ZBt5j via @TribunHealth"
148,@pemudabiasasaja di lingkunganku sendiri ada orang tua yg setelah vaksin baru kena covid. alhamdulillah gejalanya r… https://t.co/p1ZhesiSNZ
149,"moots, adakah yg udh vaksin covid? mau tanya ada efek samping pusing atau mual gakya?"
150,Pemerintah Pastikan Vaksin Covid-19 Minim Efek Samping | https://t.co/ypaN19Edtg https://t.co/4JryJ4nH1D via… https://t.co/yfUjpVOQYL
151,Pemerintah Pastikan Vaksin Covid-19 Minim Efek Samping | https://t.co/VTUTo5lDvP https://t.co/rwuw3QyVFA via… https://t.co/3Pz0sLqwwY
152,Rekomendasi Dokter Internis Terkait Efek Pembekuan Darah Vaksin COVID-19 AstraZeneca https://t.co/LylxZSNXMO
153,Rekomendasi Dokter Internis Terkait Efek Pembekuan Darah Vaksin COVID-19 AstraZeneca https://t.co/zPNvGsfqDi
154,"@syerarasitha Udah si, cuma efek long covid masi ada.

Terus ni mak gua juga katanya rekan kerjanya ada yg kena cov… https://t.co/oSZkja54Ay"
155,"#BeritaTerkini
Pemerintah Pastikan Vaksin Covid-19 Minim Efek Samping 

Selengkapnya: https://t.co/9XviyAjAoT"
156,"Ikuti Tips Meminimalisir Efek Samping Setelah Vaksin Covid 19. 👉 https://t.co/JYy4VMizma

#AdaRadioPlus"
157,"Ikuti Tips Meminimalisir Efek Samping Setelah Vaksin Covid 19. 👉 https://t.co/E1ktlAhu2n

#AdaRadioPlus"
158,"Ikuti Tips Meminimalisir Efek Samping Setelah Vaksin Covid 19. 👉 https://t.co/9g7OwR74cq

#AdaRadioPlus"
159,"Ikuti Tips Meminimalisir Efek Samping Setelah Vaksin Covid 19. 👉 https://t.co/8yOY2ik2Mx

#AdaRadioPlus"
160,"Negara lain sudah mengkaji efek samping serius akibat vaksin covid, membuka kembali sekolah, di sini masih mbulet s… https://t.co/GQEKRhf9tk"
161,"Dari masalah gangguan ereksi sampai limfositosis, semuanya dikaitkan dengan efek samping vaksin COVID-19. Hmm, bene… https://t.co/vQ63q8qkU3"
162,"Kenali beda efek samping vaksin dengan gejala covid19
https://t.co/Y8aXZBHoD7"
163,"Reaksi yang mungkin terjadi setelah vaksinasi covid-19 hampir sama dengan vaksin lain, yaitu dapat berupa reaksi lo… https://t.co/shkfseG0Mh"
164,"Seluruh jenis vaksin Covid-19 yg digunakan dlm program vaksinasi nasional dipastikan aman, berkhasiat dan minim efe… https://t.co/mfpt5eiyH6"
165,"Daftar efek samping yang ditimbulkan suntikkan vaksin COVID-19 berpotensi bertambah. Perkembangan terbaru, ada duga… https://t.co/ip5u246A0j"
166,Studi Israel Meninjau Dugaan Radang Jantung sebagai Efek Samping pada Penerima Vaksin Covid-19 Pfizer… https://t.co/iMlmqRCOhi
167,"@null Kenali Beda Efek Samping Vaksin dengan Gejala Covid-19 Memang, mendapat vaksin b  https://t.co/kez9qeSwYO"
168,"""dan 95 keguguran telah dilaporkan ke Sistem Pelaporan Efek Merugikan Vaksin (VAERS) AS setelah vaksinasi COVID per… https://t.co/j3XdVfHE2x"
169,"""Vaksin COVID-19 yang beredar di AS, mRNA (Moderna dan Pfizer) dan DNA (Johnson &amp; Johnson - Janssen), telah menyeba… https://t.co/4Xqc3SCG3H"
170,"Mau cerita efek dari vaksin covid-19.
Yg jelas efeknya beda2 ke orang ya. 🙃Ini efek yg kurasa di tubuh aku."
171,"Alhamdulillah hari ini 25/4 saya dapat giliran vaksin covid 19 tahap 1, vaksinasi tahap ke 2 akan di laksanakan pad… https://t.co/yRNqCDD1Dt"
172,"Seluruh jenis vaksin Covid-19 yang digunakan dalam program vaksinasi nasional dipastikan aman, berkhasiat dan minim… https://t.co/mRl0NA3xLO"
173,https://t.co/EJjqjGfpxj
174,"@abu_waras Disini juga membuktikan bahwa Covid saat ini hanyalah settingan. India dinyatakan sunami covid, mereka m… https://t.co/vmSOfoBdgG"
175,"Pemerintah Vaksin Covid-19 Minim Efek Samping❤️🇲🇨

#JokowiLawanPandemi https://t.co/gjN7lbRQE8"
176,"Pemerintahan @jokowi memastikan vaksin covid 19 minim efek samping. Jika ditemukan efek samping, masyarakt diminta… https://t.co/RqdbVNRfy0"
177,"Jika setelah vaksinasi ditemukan efek samping, pemerintah minta masyarakat  melapor ke fasilitas kesehatan masyarak… https://t.co/EaFj3I9bDi"
178,"Seluruh jenis vaksin Covid-19 yg digunakan dlm program vaksinasi nasional dipastikan aman, berkhasiat dan minim efe… https://t.co/0AkFsmCZEH"
179,"Pemerintah Pastikan Vaksin Covid-19 minim efek samping

@jokowi Lawan Pandemi https://t.co/vuwy5dH444"
180,"Pemerintah pastikan vaksin Covid-19 minim efek samping. Jika vaksinasi ditemukan efek samping, pemerintah minta mas… https://t.co/6VKdzCgjfT"
181,"Pemerintah pastikan vaksin Covid-19 minim efek samping. Jika vaksinasi ditemukan efek samping, pemerintah minta mas… https://t.co/cFTqJBrctf"
182,"Pemerintah pastikan vaksin Covid-19 minim efek samping. Jika vaksinasi ditemukan efek samping, pemerintah minta mas… https://t.co/vkHpKbHzQq"
183,@Perahu_Kertas__ @LsOwien @PBIDI @tirta_hudhi @dr_koko28 @DrTompi @Lisaamartatara4 Banyak hal yg menyebabkan harus… https://t.co/1RaFLh4Q1g
184,jujur abis vaksin covid yg pertama efek di gue seluruh badan pegel linu kaya abis nguli :”)
185,"ada yg tau berapa lama ya efek ‘laper mulu’ krn vaksin covid? vaksin sabtu kemarin, sampe hari ini kok berasa laper mulu yak 😭"
186,@drpriono1 @jokowi @BudiGSadikin Jika vaksin tdk efektif mencegah covid kenapa diharuskan vaksin? Bukankah virusnya… https://t.co/gDHZ64LVmO
187,"✨Serius Nanya✨
Fren kelen yang udah vaksin covid ini, ada efek ga si setelahnya?"
188,"Parno bgttttt sama yg bersin2 batuk2. Apakah ini termasuk efek ditinggal Ibuk karena covid? 🥲🥲🥲

Kapan bisa vaksin? 😢"
189,"[Update Covid Harian 31 Mei 2021]

1️⃣ Kasus Aktif Indonesia &gt;100 Ribu!
2️⃣ Malaysia Lockdown? Panic Buying!
3️⃣ Va… https://t.co/mcqBBlJPHi"
190,"12 Efek Samping Vaksinasi Hasil Temuan Dinkes Batu 
#COVID19Vic #COVID #VaksinasiCovid19 #Vaksin #vaksincovid… https://t.co/Jqnu6CPofB"
